id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,interaction
108023,AFG-2001-3-1630-0,2001,True,Clear,3,769,608,al-Qaida  - Civilians,769,1075,al-Qaida  - Civilians,769,769,al-Qaida,9999,1,Civilians,5,"""http://66.223.12.161/september11Victims/,2005-03-11,."";""http://www.september11victims.com/september11victims/fullreport.pdf,2005-03-11,."";""http://www.militarycity.com/sept11/,2005-03-11,."";""NY magazine,2012-09-01,Death, destruction, charity, salvation, war, money, real estate, spouses, babies, and other September 11 statistics."";""http://www.statisticbrain.com/911-death-statistics/,2013-09-26,9/11 Death Statistics""",http://66.223.12.161/september11Victims/;http://www.september11victims.com/september11victims/fullreport.pdf;http://www.militarycity.com/sept11/;NY magazine;http://www.statisticbrain.com/911-death-statistics/,2005-03-11;2005-03-11;2005-03-11;2012-09-01;2013-09-26,".;.;.;Death, destruction, charity, salvation, war, money, real estate, spouses, babies, and other September 11 statistics.;9/11 Death Statistics",-,1,New York City town,New York city town,New York state,New York county,40.712777,-74.005833,POINT (-74.0058333 40.7127778),188132,United States of America,2,Americas,1,1,09/11/2001 00:00:00,09/11/2001 00:00:00,0,0,2753,0,2753,2753,2753,-,-,15
187676,USA-2001-1-360-999,2001,True,Clear,1,418,418,United States of America: Government,878,878,Government of United States of America - al-Qaida,3,3,Government of United States of America,769,769,al-Qaida,-1,"New York Times 14 Sep 2001 ""Defense Department Says 126 Are Missing, Raising Total of Crash Victims to 190"" /R 27 Sep 2001 ""Purple Hearts, Freedom Medals for Pentagon victims."" /NY Times 25 Oct 2001 ""Dead and Missing"", http://www.september11victims.com/september11victims/fullreport.pdf, http://66.223.12.161/september11Victims/ (most recent update 11 March, 2005), http://www.militarycity.com/sept11/ (webpages visited 21 July, 2005).",-,-,-,-,1,Arlington town,"Pentagon, Arlington, Virginia, USA",Virginia state,Arlington county,38.877129,-77.101913,POINT (-77.101913452148 38.877129638164),185246,United States of America,2,Americas,1,1,09/11/2001 00:00:00,09/11/2001 00:00:00,56,5,69,59,189,189,189,2,-,41
187677,USA-2001-1-360-2,2001,True,Clear,1,418,418,United States of America: Government,878,878,Government of United States of America - al-Qaida,3,3,Government of United States of America,769,769,al-Qaida,-1,"New York Times 18 Sep 2001 ""44 Victims Are Remembered, and Lauded"", http://www.september11victims.com/september11victims/fullreport.pdf, http://66.223.12.161/september11Victims/ (most recent update 11 March, 2005), http://www.militarycity.com/sept11/ (webpages visited 21 July, 2005).",-,-,-,-,1,United Airlines Flight 93 crash site,"Stonycreek Township, near Shanksville, in Somerset County, Pennsylvania, about 80 miles (130 km) southeast of Pittsburgh and 150 miles (240 km) northwest of Washington, D.C., USA",Pennsylvania state,Somerset county,40.054457,-78.90116,POINT (-78.9011609445 40.0544578425),187403,United States of America,2,Americas,1,1,09/11/2001 00:00:00,09/11/2001 00:00:00,0,4,40,0,44,44,44,2,-,41
422178,MEX-2010-2-5543-54,2010,True,Clear,2,5543,4933,Gulf Cartel - Los Zetas,5543,5543,Gulf Cartel - Los Zetas,782,782,Gulf Cartel,1088,1088,Los Zetas,1,"""Borderland Beat ,2010-05-10,Two Zetas executed in Brownsville, Texas""",Borderland Beat,2010-05-10,"Two Zetas executed in Brownsville, Texas",Borderland Beat,4,Texas state,"Brownsville, Texas",Texas state,-,31.25044,-99.25061,POINT (-99.25061 31.25044),174402,United States of America,2,Americas,1,1,05/06/2010 00:00:00,05/06/2010 00:00:00,0,2,0,0,2,2,2,-,-,11
208492,AFG-2015-3-1076-0,2015,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Reuters News,2015-12-06,UPDATE 6-Islamic State claims California mass killers as followers""",Reuters News,2015-12-06,UPDATE 6-Islamic State claims California mass killers as followers,"police, IS",1,San Bernardino town,San Bernardino town,California state,San Bernardino county,34.1,-117.3,POINT (-117.3 34.1),178686,United States of America,2,Americas,1,1,12/02/2015 00:00:00,12/02/2015 00:00:00,0,0,14,0,14,14,14,-,-,15
251608,AFG-2017-3-973-273,2017,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,4,"""Reuters News,2017-11-03,Islamic State says New York truck attacker is a ""caliphate soldier"""";""Reuters News,2017-10-31,Eight killed in 'cowardly' New York City terror attack, mayor says"";""Reuters News,2017-11-01,Deadly Halloween attack in New York branded ""terrorism"" by authorities"";""US Department of Justice,2017-11-21,Sayfullo Saipov Indicted On Terrorism And Murder In Aid Of Racketeering Charges In Connection With Lower Manhattan Truck Attack""",Reuters News;Reuters News;Reuters News;US Department of Justice,2017-11-03;2017-10-31;2017-11-01;2017-11-21,"Islamic State says New York truck attacker is a ""caliphate soldier"";Eight killed in 'cowardly' New York City terror attack, mayor says;Deadly Halloween attack in New York branded ""terrorism"" by authorities;Sayfullo Saipov Indicted On Terrorism And Murder In Aid Of Racketeering Charges In Connection With Lower Manhattan Truck Attack","New York's mayor, al-Naba, US Department of Justice",1,New York City town,New York,New York state,New York county,40.712777,-74.005833,POINT (-74.0058333 40.7127778),188132,United States of America,2,Americas,1,1,10/31/2017 00:00:00,10/31/2017 00:00:00,0,0,8,0,8,8,8,-,-,15
277078,MEX-2018-3-1704-2,2018,False,Clear,3,775,1224,Sinaloa Cartel - Civilians,775,1704,Sinaloa Cartel - Civilians,775,775,Sinaloa Cartel,9999,1,Civilians,1,"""Borderland Beat (WSB Atlanta),2018-07-14,Sinaloa cartel: 13 y/o Alabama girl beheaded, after witnessing her grandmother's murder""",Borderland Beat (WSB Atlanta),2018-07-14,"Sinaloa cartel: 13 y/o Alabama girl beheaded, after witnessing her grandmother's murder",perpetrator; investigator Stacy Rutherford,2,Owens Cross Roads town,bout 15 miles southeast of the city of Owens Cross Roads.,Alabama state,Madison county,34.584917,-86.457749,POINT (-86.457749 34.584917),179468,United States of America,2,Americas,1,1,06/04/2018 00:00:00,06/04/2018 00:00:00,0,0,1,0,1,1,1,-,-,15
321192,YEM-2019-2-14596-24,2019,True,Clear,2,14596,13587,AQAP - Forces of the Presidential Leadership Council,14596,14596,AQAP - Forces of the Presidential Leadership Council,881,881,AQAP,6254,6254,Forces of the Presidential Leadership Council,5,"""Reuters News,2019-12-08,U.S. defense secretary securing military bases after Florida shooting"";""Reuters News,2019-12-09,Pressure mounts on FBI for answers on Florida naval base shooting"";""Reuters News,2020-02-03,Al Qaeda in Arabian Peninsula claims December shooting at Florida naval base"";""Agence France Presse,2020-02-02,AQAP claims responsibility for US military base attack: monitor"";""Agence France Presse,2020-05-18,Saudi attacker on US base had longstanding al-Qaeda ties: US""",Reuters News;Reuters News;Reuters News;Agence France Presse;Agence France Presse,2019-12-08;2019-12-09;2020-02-03;2020-02-02;2020-05-18,U.S. defense secretary securing military bases after Florida shooting;Pressure mounts on FBI for answers on Florida naval base shooting;Al Qaeda in Arabian Peninsula claims December shooting at Florida naval base;AQAP claims responsibility for US military base attack: monitor;Saudi attacker on US base had longstanding al-Qaeda ties: US,"U.S. Defense Secretary Mark Esper, AQAP",4,Florida state,"Pensacola, Florida",Florida state,-,29.081494,-82.012636,POINT (-82.012636 29.081494),171556,United States of America,2,Americas,1,1,12/06/2019 00:00:00,12/06/2019 00:00:00,1,3,0,0,4,4,4,-,-,11
450154,GUA-2022-2-14799-563,2022,True,Clear,2,14799,13737,Jalisco Cartel New Generation - Sinaloa Cartel,14799,14799,Jalisco Cartel New Generation - Sinaloa Cartel,1151,1151,Jalisco Cartel New Generation,775,775,Sinaloa Cartel,1,"""La Jornada,2022-09-17,Disputa entre cárteles por el control del muro fronterizo deja un muerto""",La Jornada,2022-09-17,Disputa entre cárteles por el control del muro fronterizo deja un muerto,La Jornada,1,San Diego City,"Chula Vista area,  Nido de Las Águilas neighborhood,

death on american soil",California state,San Diego County,32.716153,-117.161047,POINT (-117.161047 32.716153),176526,United States of America,2,Americas,1,1,09/17/2022 00:00:00,09/17/2022 00:00:00,0,0,0,1,1,1,1,-,-,11
